latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-7.0976,-43.59087,305.2,0.66,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,3.5,N
-7.13933,-42.6019,310.3,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.2,2.3,N
-7.13827,-42.59986,308.7,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,2.9,N
-7.13187,-42.59869,304.5,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,1.4,N
-7.0786,-42.67132,317,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.1,3.3,N
-7.07758,-42.67676,311.6,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.1,4.9,N
-7.07221,-42.66988,308.9,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.5,3.3,N
-7.07117,-42.67545,332.2,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.6,4.9,N
-7.19128,-41.99599,302,0.52,0.67,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,1,N
-7.19037,-42.00089,304.8,0.52,0.67,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.5,1,N
-7.07278,-42.63128,308,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.7,1.9,N
-7.0718,-42.63653,305.7,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,1.9,N
-7.06686,-42.66288,307.7,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.2,2.3,N
-7.06536,-42.63546,314.6,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294,1.9,N
-7.05941,-42.66713,308.9,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,2.3,N
-7.05836,-42.67271,306.5,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,3.3,N
-7.05792,-42.63964,306.4,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.4,2.8,N
-7.05398,-42.66063,313.6,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,2.5,N
-7.05297,-42.66599,313.9,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.7,2.5,N
-7.05193,-42.67152,315.5,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,4.6,N
-7.04848,-42.65448,307.5,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,4.3,N
-7.04751,-42.65965,309.2,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.4,2.5,N
-7.07284,-42.62809,303,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,2.6,N
-7.07189,-42.63332,313.3,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,2.1,N
-7.06616,-42.6651,310.7,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,2.6,N
-7.06546,-42.63218,307.4,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.2,2.1,N
-7.0645,-42.63751,312.5,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,2.1,N
-7.05874,-42.66937,313.5,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,2.6,N
-7.0571,-42.6417,304.2,0.57,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.4,2.7,N
-7.05424,-42.65751,304.9,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.9,2.6,N
-7.0533,-42.66271,313.8,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,3.7,N
-7.0523,-42.66819,318.1,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.1,3.7,N
-7.05129,-42.67378,304.3,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,3.8,N
-7.04777,-42.65649,313.8,0.58,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,294,2.6,N
-6.95315,-42.77151,302.6,0.59,0.7,2020-10-02,0318,N,VIIRS,n,2.0NRT,289.8,0.6,N
-6.9467,-42.7701,304.8,0.59,0.7,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.3,0.6,N
-7.69677,-37.90237,314.8,0.54,0.51,2020-10-02,0318,N,VIIRS,n,2.0NRT,290,1.8,N
-7.69538,-37.90079,316.7,0.54,0.51,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.3,2.1,N
-6.53088,-43.85023,306.6,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.1,3.3,N
-6.52378,-43.84977,304.4,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.7,3.1,N
-6.52252,-43.85642,311,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.5,2,N
-6.52552,-43.84999,312.5,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,3,N
-6.52431,-43.85662,312.3,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,3,N
-6.36689,-43.25103,314,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,3.2,N
-6.36588,-43.25654,311.4,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,5.1,N
-6.36016,-43.24979,305.4,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.3,2.6,N
-6.35804,-43.2613,313.6,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.7,4.7,N
-6.18939,-44.17397,309.4,0.75,0.77,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,3.4,N
-6.35914,-43.25531,326.1,0.65,0.73,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.2,4.7,N
-6.18208,-44.17372,317.5,0.75,0.77,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.2,3.4,N
-6.49023,-41.57214,305.3,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,1.2,N
-6.48943,-41.57649,304.3,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,1.8,N
-6.98246,-38.45772,306.6,0.6,0.53,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.7,1.5,N
-6.97748,-38.45726,309.3,0.6,0.53,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.4,1.5,N
-7.3325,-35.1554,302.6,0.55,0.43,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.3,0.6,N
-6.90238,-37.46043,307.2,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,2,N
-14.88674,-45.66699,367,0.65,0.73,2020-10-02,0324,N,VIIRS,h,2.0NRT,292.8,7.3,N
-14.88547,-45.67289,367,0.65,0.73,2020-10-02,0324,N,VIIRS,h,2.0NRT,295.9,39.2,N
-14.88135,-45.65945,313.9,0.65,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.3,7.3,N
-14.88005,-45.66543,303.5,0.65,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.2,7.3,N
-14.81233,-45.84648,330.3,0.67,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.7,4.5,N
-14.82865,-45.73968,301.8,0.65,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,291.6,2.4,N
-14.8071,-45.83794,306.1,0.66,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.5,3.5,N
-14.82193,-45.73809,301.5,0.65,0.73,2020-10-02,0324,N,VIIRS,n,2.0NRT,291,2.4,N
-15.51882,-41.29039,305.5,0.33,0.55,2020-10-02,0324,N,VIIRS,n,2.0NRT,290,1.8,N
-15.51758,-41.29663,310.1,0.33,0.55,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.9,3.4,N
-15.5182,-41.2935,355.6,0.33,0.55,2020-10-02,0324,N,VIIRS,n,2.0NRT,291.9,3.4,N
-14.44171,-45.77821,299.9,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.2,2.3,N
-14.44031,-45.78452,304.6,0.67,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.6,2.6,N
-13.10971,-45.52817,303.8,0.68,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.6,1.7,N
-13.1083,-45.5347,306.6,0.69,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.3,1.7,N
-13.10427,-45.52016,320,0.68,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.6,5,N
-13.1096,-45.53275,308.4,0.69,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.5,2.3,N
-13.10549,-45.51816,313.7,0.68,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.4,3,N
-13.10413,-45.52468,302.8,0.69,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.7,3,N
-13.10275,-45.53123,300.5,0.69,0.74,2020-10-02,0324,N,VIIRS,n,2.0NRT,288.3,2.3,N
-12.76539,-46.44241,309.4,0.79,0.78,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.3,3,N
-12.75803,-46.44131,304.8,0.79,0.78,2020-10-02,0324,N,VIIRS,n,2.0NRT,292,3,N
-12.76429,-46.44305,310.6,0.79,0.78,2020-10-02,0324,N,VIIRS,n,2.0NRT,292.2,2.6,N
-12.75696,-46.44185,303.1,0.79,0.78,2020-10-02,0324,N,VIIRS,n,2.0NRT,291.8,2.6,N
-13.11475,-43.50323,301.1,0.51,0.66,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.3,1.6,N
-12.89193,-43.83982,321.9,0.54,0.68,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.5,3.1,N
-12.88792,-43.8423,301.8,0.54,0.68,2020-10-02,0324,N,VIIRS,n,2.0NRT,290,3.6,N
-12.88896,-43.83721,326.6,0.54,0.68,2020-10-02,0324,N,VIIRS,n,2.0NRT,291.4,3.8,N
-12.8827,-43.83591,302.3,0.54,0.68,2020-10-02,0324,N,VIIRS,n,2.0NRT,290.4,0.4,N
-12.04934,-45.87867,352,0.75,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,293,24.7,N
-12.04777,-45.8859,367,0.76,0.77,2020-10-02,0324,N,VIIRS,h,2.0NRT,293.1,24.7,N
-12.04221,-45.8772,367,0.75,0.77,2020-10-02,0324,N,VIIRS,h,2.0NRT,291.4,24.7,N
-12.04064,-45.88447,321.2,0.76,0.77,2020-10-02,0324,N,VIIRS,n,2.0NRT,289.3,24.7,N
